journal,year,n_bar_cont,n_informative,n_bar_or_informative,policy,policy_year,JCR Abbreviation,Publisher,All_Fields,p_bar,p_informative,p_total
American journal of physiology. Endocrinology and metabolism,2013.0,247,47,250,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY,0.988,0.188,1.176
American journal of physiology. Endocrinology and metabolism,2014.0,215,38,223,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY,0.9641255605381166,0.17040358744394618,1.1345291479820627
American journal of physiology. Endocrinology and metabolism,2015.0,171,37,176,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY,0.9715909090909091,0.21022727272727273,1.1818181818181819
American journal of physiology. Endocrinology and metabolism,2016.0,148,31,155,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY,0.9548387096774194,0.2,1.1548387096774193
American journal of physiology. Endocrinology and metabolism,2017.0,98,29,104,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY,0.9423076923076923,0.27884615384615385,1.2211538461538463
American journal of physiology. Endocrinology and metabolism,2018.0,128,60,147,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY,0.8707482993197279,0.40816326530612246,1.2789115646258504
American journal of physiology. Endocrinology and metabolism,2019.0,149,92,182,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY,0.8186813186813187,0.5054945054945055,1.3241758241758241
American journal of physiology. Endocrinology and metabolism,2020.0,96,105,153,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY,0.6274509803921569,0.6862745098039216,1.3137254901960784
American journal of physiology. Endocrinology and metabolism,2021.0,75,98,135,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY,0.5555555555555556,0.725925925925926,1.2814814814814817
American journal of physiology. Endocrinology and metabolism,2022.0,25,64,71,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY,0.352112676056338,0.9014084507042254,1.2535211267605635
American journal of physiology. Endocrinology and metabolism,2023.0,30,76,84,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY,0.35714285714285715,0.9047619047619048,1.2619047619047619
American journal of physiology. Endocrinology and metabolism,2024.0,38,91,101,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY,0.37623762376237624,0.900990099009901,1.2772277227722773
American journal of physiology. Endocrinology and metabolism,2025.0,39,111,125,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY,0.312,0.888,1.2
American journal of physiology. Gastrointestinal and liver physiology,2010.0,219,26,227,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY,0.9647577092511013,0.1145374449339207,1.079295154185022
American journal of physiology. Gastrointestinal and liver physiology,2011.0,189,36,197,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY,0.9593908629441624,0.18274111675126903,1.1421319796954315
American journal of physiology. Gastrointestinal and liver physiology,2012.0,236,58,246,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY,0.959349593495935,0.23577235772357724,1.1951219512195121
American journal of physiology. Gastrointestinal and liver physiology,2013.0,179,42,182,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY,0.9835164835164835,0.23076923076923078,1.2142857142857142
American journal of physiology. Gastrointestinal and liver physiology,2014.0,154,53,162,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY,0.9506172839506173,0.3271604938271605,1.2777777777777777
American journal of physiology. Gastrointestinal and liver physiology,2015.0,135,51,141,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY,0.9574468085106383,0.3617021276595745,1.319148936170213
American journal of physiology. Gastrointestinal and liver physiology,2016.0,161,63,172,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY,0.936046511627907,0.36627906976744184,1.302325581395349
American journal of physiology. Gastrointestinal and liver physiology,2017.0,79,37,92,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY,0.8586956521739131,0.40217391304347827,1.2608695652173914
American journal of physiology. Gastrointestinal and liver physiology,2018.0,119,55,127,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY,0.937007874015748,0.4330708661417323,1.3700787401574803
American journal of physiology. Gastrointestinal and liver physiology,2019.0,101,66,128,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY,0.7890625,0.515625,1.3046875
American journal of physiology. Gastrointestinal and liver physiology,2020.0,82,74,116,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY,0.7068965517241379,0.6379310344827587,1.3448275862068966
American journal of physiology. Gastrointestinal and liver physiology,2021.0,51,81,104,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY,0.49038461538461536,0.7788461538461539,1.2692307692307692
American journal of physiology. Gastrointestinal and liver physiology,2022.0,24,67,78,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY,0.3076923076923077,0.8589743589743589,1.1666666666666665
American journal of physiology. Gastrointestinal and liver physiology,2023.0,27,64,67,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY,0.40298507462686567,0.9552238805970149,1.3582089552238805
American journal of physiology. Gastrointestinal and liver physiology,2024.0,42,97,105,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY,0.4,0.9238095238095239,1.323809523809524
American journal of physiology. Gastrointestinal and liver physiology,2025.0,36,79,95,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY,0.37894736842105264,0.8315789473684211,1.2105263157894737
American journal of physiology. Heart and circulatory physiology,2010.0,372,59,388,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY,0.9587628865979382,0.15206185567010308,1.1108247422680413
American journal of physiology. Heart and circulatory physiology,2011.0,386,56,404,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY,0.9554455445544554,0.13861386138613863,1.0940594059405941
American journal of physiology. Heart and circulatory physiology,2012.0,271,47,285,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY,0.9508771929824561,0.1649122807017544,1.1157894736842104
American journal of physiology. Heart and circulatory physiology,2013.0,269,52,275,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY,0.9781818181818182,0.1890909090909091,1.1672727272727272
American journal of physiology. Heart and circulatory physiology,2014.0,277,69,297,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY,0.9326599326599326,0.23232323232323232,1.164983164983165
